onset	duration	type
9.78	1	Wait
12.645	1	Wait
23.891	1	Wait
36.686	1	Wait
39.135	1	Wait
41.518	1	Wait
43.95	1	Wait
70.09	1	Wait
81.753	1	Wait
84.452	1	Wait
88.917	1	Wait
118.41	1	Wait
120.84	1	Wait
123.17	1	Wait
125.6	1	Wait
128.02	1	Wait
150.11	1	Wait
156.61	1	Wait
167.49	1	Wait
169.9	1	Wait
172.28	1	Wait
182.7	1	Wait
185.03	1	Wait
196.19	1	Wait
202.67	1	Wait
207.02	1	Wait
213.4	1	Wait
215.75	1	Wait
220.18	1	Wait
222.68	1	Wait
225.13	1	Wait
234.59	1	Wait
237.08	1	Wait
239.48	1	Wait
241.99	1	Wait
244.44	1	Wait
248.94	1	Wait
255.59	1	Wait
262.05	1	Wait
270.73	1	Wait
316.95	1	Wait
334.11	1	Wait
336.52	1	Wait
338.87	1	Wait
360.87	1	Wait
363.23	1	Wait
365.55	1	Wait
367.86	1	Wait
370.21	1	Wait
387.45	1	Wait
391.9	1	Wait
394.3	1	Wait
401.43	1	Wait
407.86	1	Wait
414.31	1	Wait
416.91	1	Wait
419.39	1	Wait
421.91	1	Wait
429.49	1	Wait
432.15	1	Wait
436.82	1	Wait
439.22	1	Wait
445.65	1	Wait
448.06	1	Wait
454.9	1	Wait
466.21	1	Wait
468.82	1	Wait
472.17	1	Wait
474.59	1	Wait
477.07	1	Wait
481.8	1	Wait
486.57	1	Wait
493.05	1	Wait
495.45	1	Wait
502.68	1	Wait
509.11	1	Wait
512.02	1	Wait
514.47	1	Wait
516.94	1	Wait
523.34	1	Wait
528.12	1	Wait
549.81	1	Wait
555.84	1	Wait
568.29	1	Wait
570.67	1	Wait
573.1	1	Wait
575.52	1	Wait
577.9	1	Wait
586.66	1	Wait
598.39	1	Wait
602.77	1	Wait
605.21	1	Wait
607.62	1	Wait
616.02	1	Wait
618.43	1	Wait
620.83	1	Wait
629.73	1	Wait
635.08	1	Wait
639.53	1	Wait
656.62	1	Wait
659.04	1	Wait
667.73	1	Wait
670.01	1	Wait
683.91	1	Wait
689.54	1	Wait
693.99	1	Wait
701.84	1	Wait
714.47	1	Wait
718.88	1	Wait
721.28	1	Wait
723.6	1	Wait
725.94	1	Wait
743.11	1	Wait
745.42	1	Wait
751.82	1	Wait
763.68	1	Wait
768.04	1	Wait
770.35	1	Wait
776.67	1	Wait
781.06	1	Wait
787.5	1	Wait
800.92	1	Wait
811.43	1	Wait
815.84	1	Wait
820.28	1	Wait
838.45	1	Wait
840.87	1	Wait
847.33	1	Wait
853.81	1	Wait
858.25	1	Wait
864.69	1	Wait
878.3	1	Wait
884.72	1	Wait
895.15	1	Wait
899.61	1	Wait
902.04	1	Wait
908.88	1	Wait
911.29	1	Wait
922.92	1	Wait
925.29	1	Wait
929.75	1	Wait
932.28	1	Wait
934.72	1	Wait
937.22	1	Wait
944.03	1	Wait
952.29	1	Wait
4.748	1	Reward
15.111	1	Reward
31.355	1	Reward
53.147	1	Reward
74.572	1	Reward
101.43	1	Reward
145.16	1	Reward
189.33	1	Reward
229.53	1	Reward
277.6	1	Reward
311.93	1	Reward
325.99	1	Reward
343.22	1	Reward
374.58	1	Reward
396.67	1	Reward
424.37	1	Reward
459.29	1	Reward
497.81	1	Reward
540.68	1	Reward
593.53	1	Reward
643.98	1	Reward
651.54	1	Reward
662.62	1	Reward
676.4	1	Reward
696.32	1	Reward
730.28	1	Reward
756.38	1	Reward
789.9	1	Reward
829.07	1	Reward
869.16	1	Reward
915.74	1	Reward
